Date,Close,stock
"Jul 8, 2025",210.01,"42,780,600"
"Jul 7, 2025",209.95,"50,229,000"
"Jul 3, 2025",213.55,"34,955,800"
"Jul 2, 2025",212.44,"67,941,800"
"Jul 1, 2025",207.82,"78,788,900"
"Jun 30, 2025",205.17,"91,912,800"
"Jun 27, 2025",201.08,"73,188,600"
"Jun 26, 2025",201.00,"50,799,100"
"Jun 25, 2025",201.56,"39,525,700"
"Jun 24, 2025",200.30,"54,064,000"
"Jun 23, 2025",201.50,"55,814,300"
"Jun 20, 2025",201.00,"96,813,500"
"Jun 18, 2025",196.58,"45,394,700"
"Jun 17, 2025",195.64,"38,856,200"
"Jun 16, 2025",198.42,"43,020,700"
"Jun 13, 2025",196.45,"51,447,300"
"Jun 12, 2025",199.20,"43,904,600"
"Jun 11, 2025",198.78,"60,989,900"
"Jun 10, 2025",202.67,"54,672,600"
"Jun 9, 2025",201.45,"72,862,600"
"Jun 6, 2025",203.92,"46,607,700"
"Jun 5, 2025",200.63,"55,126,100"
"Jun 4, 2025",202.82,"43,604,000"
"Jun 3, 2025",203.27,"46,381,600"
"Jun 2, 2025",201.70,"35,423,300"
"May 30, 2025",200.85,"70,819,900"
"May 29, 2025",199.95,"51,396,800"
"May 28, 2025",200.42,"45,339,700"
"May 27, 2025",200.21,"56,288,500"
"May 23, 2025",195.27,"78,432,900"
"May 22, 2025",201.36,"46,742,400"
"May 21, 2025",202.09,"59,211,800"
"May 20, 2025",206.86,"42,496,600"
"May 19, 2025",208.78,"46,140,500"
"May 16, 2025",211.26,"54,737,900"
"May 15, 2025",211.45,"45,029,500"
"May 14, 2025",212.33,"49,325,800"
"May 13, 2025",212.93,"51,909,300"
"May 12, 2025",210.79,"63,775,800"
"May 9, 2025",198.27,"36,453,900"
"May 8, 2025",197.23,"50,478,900"
"May 7, 2025",195.99,"68,536,700"
"May 6, 2025",198.25,"51,216,500"
"May 5, 2025",198.63,"69,018,500"
"May 2, 2025",205.08,"101,010,600"
"May 1, 2025",213.04,"57,365,700"
"Apr 30, 2025",212.22,"52,286,500"
"Apr 29, 2025",210.93,"36,827,600"
"Apr 28, 2025",209.86,"38,743,100"
"Apr 25, 2025",209.01,"38,222,300"
"Apr 24, 2025",208.10,"47,311,000"
"Apr 23, 2025",204.33,"52,929,200"
"Apr 22, 2025",199.48,"52,976,400"
"Apr 21, 2025",192.91,"46,742,500"
"Apr 17, 2025",196.72,"51,334,300"
"Apr 16, 2025",194.02,"59,732,400"
"Apr 15, 2025",201.88,"51,343,900"
"Apr 14, 2025",202.25,"101,352,900"
"Apr 11, 2025",197.89,"87,435,900"
"Apr 10, 2025",190.17,"121,880,000"
"Apr 9, 2025",198.59,"184,395,900"
"Apr 8, 2025",172.19,"120,859,500"
"Apr 7, 2025",181.22,"160,466,300"
"Apr 4, 2025",188.13,"125,910,900"
"Apr 3, 2025",202.92,"103,419,000"
"Apr 2, 2025",223.60,"35,905,900"
"Apr 1, 2025",222.90,"36,412,700"
"Mar 31, 2025",221.84,"65,299,300"
